ifeng.com,123.103.122.24
goo.ne.jp,153.254.147.65
bbc.co.uk,151.101.128.81
yandex.ru,5.255.255.80
myspace.com,63.135.90.70
mail.ru,94.100.180.202
cnet.com,35.190.79.82
go.com,23.236.60.174
4399.com,118.184.184.70
orkut.com,216.239.32.21
skype.com,104.40.50.126
ameblo.jp,151.101.65.83
naver.com,125.209.222.141
flickr.com,54.230.33.85
4shared.com,204.155.149.43
amazon.co.jp,52.119.161.5
linkedin.com,108.174.10.10
dailymotion.com,195.8.215.136
imdb.com,52.94.225.248
aol.com,67.195.231.10
hotmail.com,204.79.197.212
360.cn,36.110.213.10
craigslist.org,208.82.237.1
weather.com,23.1.133.227
soku.com,106.11.47.19
alibaba.com,198.11.132.198
megaupload.com,
renren.com,120.133.2.241
livedoor.jp,203.104.153.16
blogger.com,172.217.1.201
vkontakte.ru,87.240.190.72
answers.com,151.101.64.203
rapidshare.com,0.0.0.0
daum.net,211.231.99.17
7k7k.com,106.75.22.155
2345.com,42.62.30.180
photobucket.com,209.17.68.100
mediafire.com,104.16.203.237
ehow.com,172.226.187.184
seesaa.net,59.106.28.142
paipai.com,106.39.169.133
alipay.com,110.75.139.5
softonic.com,35.244.172.133
nifty.com,222.158.213.148
imageshack.us,208.94.3.19
cnn.com,151.101.65.67
tianya.cn,124.225.65.154
mywebsearch.com,74.113.237.222
zynga.com,13.225.146.6
partypoker.com,195.72.134.116
hp.com,15.72.164.74
facebook.com,157.240.28.35
walmart.com,161.170.232.170
youtube.com,172.217.11.238
kugou.com,183.131.48.92
yahoo.com,98.138.219.232
ebay.de,66.135.196.249
live.com,204.79.197.212
youdao.com,61.135.218.27
wikipedia.org,208.80.153.224
hotfile.com,18.207.9.28
msn.com,13.82.28.61
qiyi.com,101.227.188.178
baidu.com,220.181.38.148
pconline.com.cn,219.136.244.85
blogspot.com,172.217.1.201
odnoklassniki.ru,5.61.23.11
microsoft.com,40.76.4.15
jp.msn.com,13.88.15.24
qq.com,111.161.64.48
taobao.com,140.205.220.96
bing.com,204.79.197.200
sina.com.cn,123.126.55.41
soso.com,118.191.216.42
163.com,123.58.180.8
ask.com,151.101.70.114
adobe.com,193.104.215.58
twitter.com,104.244.42.65
mozilla.com,63.245.208.194
youku.com,106.11.186.1
sdjjdsaf.com,
andysayler.com,138.197.228.157
wmfo.org,23.92.21.128
